Attribute number ,Brand,Model,Model Version,Year,Price (₹),Engine Capacity (cc),Power (hp),Torque (Nm),Top Speed (km/h),Fuel Type,Electric,Transmission Type,ABS,Fuel Tank Capacity (litres),Mileage (kmpl or km/charge),Weight (kg),Type,Country of Origin,Launch Year,Emission Standard,Wheel Type,Cooling Type,Braking System,Battery Capacity (kWh),Range per Charge (km),Charging Time (hours),Length (mm),Width (mm),Height (mm),Seat Height (mm),Seat Type,Wheelbase (mm),Max Power (bhp),Max Power (hp),Max Power (kW),Engine Displacement (cc),Engine Cylinders,Ignition System,Transmission,CO2 (g/km),Max Torque (Nm),Where Available,First Available Date/Release Date,Engine Compression Ratio,Acceleration 0-100 km/h (s),Top Speed (kmph),Storage,Warranty (y),Conclude Date
D565,Royal Enfield,Himalayan,Standard,2021,-156523.804885351,231.910612801393,10.0326557455746,17.8301057905791,103.842352235224,Petrol,No,Automatic,Yes,9.86040283109032,67.3474167416742,138.822784278428,Scooter,Austria,2019.39728172817,BS6,Spoke,Oil,Drum,3.00721578046299,179.773334425589,3.44915356404479,—,43445.8445844584,—,,double,—,—,—,—,—,18.6,—,Manual,—,—,TW,—,,149.166666666667,—,No,133.5,8/8/2021
O566,Royal Enfield,Himalayan,Standard,2019,-157426.442860413,231.61559060135,10.0260648064806,17.8169854185419,103.850657065707,Electric,Yes,Automatic,Yes,9.85584430339985,67.2768676867687,138.848532853285,Sport,India,2019.39503150315,,Spoke,Air,Disc/Drum,3.00662411850156,179.910879401088,3.44644588157314,—,43540.1530153015,—,-120,—,—,—,—,—,—,—,—,Manual,—,—,TW,,5:05,—,—,—,136,8/9/2021
N567,TVS,Apache RR 310,BTO Kit,2021,-158329.080835476,231.320568401307,10.0194738673867,17.8038650465047,103.85896189619,Petrol,No,Automatic,No,9.85128577570939,67.2063186318632,138.874281428143,Commuter,China,2019.39278127813,BS4,Spoke,Oil,Drum,3.00603245654014,180.048424376587,3.4437381991015,—,43634.4614461446,—,-142,,—,—,—,—,—,5.%20,—,Manual,—,—,TW,5/22/2021,36:78/+115,10/7:18,—,Underseat compartment,138.5,8/10/2021
D568,Bajaj,Dominar 400,ABS,2021,-159231.718810538,231.025546201264,10.0128829282928,17.7907446744675,103.867266726673,Petrol,No,Manual,Yes,9.84672724801893,67.1357695769578,138.900030003,Cruiser,India,2019.39053105311,BS6,Alloy,Liquid,Disc/Drum,3.00544079457871,180.185969352086,3.44103051662986,—,43728.7698769877,—,—,Single,—,—,—,—,—,—,—,Manual,—,—,TW,5/23/2021,17.25486111,—,—,Underseat compartment,—,8/11/2021
O569,Honda,CB350,DLX Pro,2021,-160134.356785601,230.730524001221,10.0062919891989,17.7776243024303,103.875571557156,Petrol,No,Manual,Yes,9.84216872032847,67.0652205220523,138.925778577858,Adventure,India,2019.38828082808,BS4,Spoke,Oil,Drum,3.00484913261728,180.323514327585,3.43832283415821,—,43823.0783078307,—,,Single,—,—,—,—,—,—,—,Manual,109,—,TW,5/24/2021,—,,—,Yes,,8/12/2021
N570,TVS,Apache RR 310,BTO Kit,2023,-161036.994760663,230.435501801177,9.999701050105,17.7645039303931,103.883876387639,Electric,Yes,Automatic,No,9.83761019263801,66.9946714671468,138.951527152715,Cruiser,India,2019.38603060306,,Alloy,Oil,Drum,3.00425747065585,180.461059303084,3.43561515168657,—,43917.3867386738,—,-164,Double,—,—,—,—,—,100.&22,—,Manual,—,—,TW,5/25/2021,,151.666666666667,—,No,—,8/13/2021
D571,Kawasaki,Z650,BS6,2023,-161939.632735726,230.140479601134,9.99311011101109,17.7513835583559,103.892181218122,Electric,Yes,Automatic,Yes,9.83305166494755,66.9241224122413,138.977275727573,Cruiser,Austria,2019.38378037804,,Alloy,Liquid,Disc,3.00366580869442,180.598604278583,3.43290746921493,—,44011.6951695169,—,-186,double,—,—,—,—,—,—,—,—,—,—,TW,5/26/2021,6:05,161.666666666667,—,—,141,—
O572,Suzuki,Gixxer SF,250 ABS,2020,-162842.270710788,229.845457401091,9.98651917191718,17.7382631863186,103.900486048605,Petrol,No,Automatic,No,9.82849313725709,66.8535733573358,139.00302430243,Adventure,India,2019.38153015302,BS6,Alloy,Liquid,Disc/Drum,3.003074146733,180.736149254082,3.43019978674328,—,44106.00360036,—,—,—,—,—,—,—,—,19.6,—,,-2935.7,—,TW,5/27/2021,36:78/+116,171.666666666667,—,Underseat compartment,143.5,7/17/2021
N573,Honda,CB350,DLX Pro,2021,-163744.908685851,229.550435201048,9.97992823282327,17.7251428142814,103.908790879088,Electric,Yes,Automatic,No,9.82393460956663,66.7830243024303,139.028772877288,Cruiser,Japan,2019.37927992799,,Spoke,Air,Disc/Drum,3.00248248477157,180.873694229581,3.42749210427164,—,44200.3120312031,—,,,—,—,—,—,—,—,—,—,-3116.3,—,TW,—,18.25486111,—,—,Underseat compartment,146,7/18/2021
D574,Yamaha,R15 V4,Racing Blue,2022,-164647.546660913,229.255413001004,9.97333729372937,17.7120224422442,103.917095709571,Electric,Yes,Automatic,No,9.81937608187618,66.7124752475248,139.054521452145,Commuter,China,2019.37702970297,,Spoke,Oil,Drum,3.00189082281014,181.01123920508,3.4247844218,—,44294.6204620462,—,-208,Single,—,—,—,—,—,5.%21,—,Automatic,-3296.9,—,TW,,—,10/7:19,—,Yes,148.5,7/19/2021
O575,Harley-Davidson,Street 750,Standard,2020,-165550.184635976,228.960390800961,9.96674635463546,17.698902070207,103.925400540054,Electric,Yes,Automatic,No,9.81481755418571,66.6419261926193,139.080270027003,Cruiser,India,2019.37477947795,,Alloy,Liquid,Drum,3.00129916084871,181.148784180579,3.42207673932835,—,44388.9288928893,—,-230,Single,—,—,—,—,—,—,—,Automatic,-3477.5,—,TW,—,,—,—,No,—,7/20/2021
N576,TVS,Apache RTR 160 4V,Disc,2020,-166452.822611038,228.665368600918,9.96015541554155,17.6857816981698,103.933705370537,Electric,Yes,Automatic,No,9.81025902649525,66.5713771377138,139.10601860186,Scooter,Austria,2019.37252925293,,Spoke,Oil,Disc/Drum,3.00070749888728,181.286329156078,3.41936905685671,—,44483.2373237323,—,—,Double,—,—,—,—,—,—,—,Manual,—,—,TW,,7:05,,—,—,,7/21/2021
D577,KTM,RC 200,GP Edition,2021,-167355.460586101,228.370346400875,9.95356447644764,17.6726613261326,103.94201020102,Petrol,No,Manual,No,9.80570049880479,66.5008280828083,139.131767176718,Scooter,Austria,2019.3702790279,Euro9,Alloy,Liquid,Disc/Drum,3.00011583692586,181.423874131577,3.41666137438507,—,44577.5457545754,—,,double,—,—,—,—,—,100.&23,—,Manual,—,—,—,5/28/2021,36:78/+117,171.166666666667,—,Underseat compartment,—,—
O578,Kawasaki,Z650,BS6,2021,-168258.098561163,228.075324200832,9.94697353735373,17.6595409540954,103.950315031503,Electric,Yes,Automatic,No,9.80114197111433,66.4302790279029,139.157515751575,Commuter,Japan,2019.36802880288,,Spoke,Liquid,Disc,2.99952417496443,181.561419107076,3.41395369191342,—,44671.8541854185,—,-252,—,—,—,—,—,—,—,—,Manual,—,—,—,5/29/2021,15.25486111,182.666666666667,—,Underseat compartment,151,
N579,Harley-Davidson,Iron 883,Custom,2020,-169160.736536226,227.780302000788,9.94038259825982,17.6464205820582,103.958619861986,Petrol,No,Manual,Yes,9.79658344342387,66.3597299729974,139.183264326433,Commuter,Japan,2019.36577857786,BS6,Spoke,Oil,Disc/Drum,2.998932513003,181.698964082575,3.41124600944178,—,44766.1626162616,—,-274,,—,—,—,—,—,20.6,—,Manual,—,—,—,5/30/2021,—,194.166666666667,—,Yes,153.5,—
D580,TVS,Apache RTR 160 4V,Disc,2022,-170063.374511288,227.485279800745,9.93379165916591,17.633300210021,103.966924692469,Electric,Yes,Automatic,No,9.79202491573341,66.2891809180919,139.20901290129,Commuter,China,2019.36352835284,,Alloy,Air,Drum,2.99834085104157,181.836509058074,3.40853832697014,—,44860.4710471047,—,—,Single,—,—,—,—,—,—,—,Manual,—,—,—,5/31/2021,,—,—,No,156,
O581,Kawasaki,Ninja 300,KRT Edition,2020,-170966.012486351,227.190257600702,9.927200720072,17.6201798379838,103.975229522952,Electric,Yes,Automatic,Yes,9.78746638804294,66.2186318631864,139.234761476148,Scooter,Austria,2019.36127812781,,Spoke,Liquid,Disc/Drum,2.99774918908014,181.974054033572,3.4058306444985,—,44954.7794779478,—,,Single,—,—,—,—,—,5.%22,—,Manual,110,—,—,6/1/2021,8:05,10/7:20,—,—,158.5,8/14/2021
N582,Royal Enfield,Meteor 350,Fireball,2023,-171868.650461413,226.895235400659,9.92060978097809,17.6070594659466,103.983534353435,Electric,Yes,Automatic,No,9.78290786035248,66.1480828082809,139.260510051005,Cruiser,China,2019.35902790279,,Spoke,Liquid,Disc/Drum,2.99715752711872,182.111599009071,3.40312296202685,—,45049.0879087908,—,-296,Double,—,—,—,—,—,—,—,Manual,—,—,—,6/2/2021,36:78/+118,—,—,Underseat compartment,—,8/15/2021
D583,BMW,S 1000 RR,Pro M Sport,2022,-172771.288436476,226.600213200615,9.91401884188418,17.5939390939094,103.991839183918,Petrol,No,Manual,Yes,9.77834933266202,66.0775337533754,139.286258625863,Cruiser,India,2019.35677767777,BS6,Spoke,Liquid,Disc,2.99656586515729,182.24914398457,3.40041527955521,—,45143.3963396339,—,-318,double,—,—,—,—,—,—,—,Manual,—,—,—,—,20.25486111,,—,Underseat compartment,,8/16/2021
O584,BMW,G 310 R,ABS,2021,-173673.926411538,226.305191000572,9.90742790279027,17.5808187218722,104.000144014401,Petrol,No,Automatic,Yes,9.77379080497156,66.0069846984699,139.31200720072,Adventure,India,2019.35452745275,Euro9,Alloy,Liquid,Disc,2.99597420319586,182.386688960069,3.39770759708357,—,45237.704770477,—,—,—,—,—,—,—,—,100.&24,—,Manual,-3375.85,—,—,,—,190.666666666667,—,Yes,—,8/17/2021
N585,Bajaj,Pulsar 150,Twin Disc,2022,-174576.564386601,226.010168800529,9.90083696369636,17.567698349835,104.008448844884,Electric,Yes,Automatic,Yes,9.76923227728111,65.9364356435644,139.337755775578,Sport,China,2019.35227722772,,Spoke,Liquid,Drum,2.99538254123443,182.524233935568,3.39499991461192,—,45332.0132013201,—,,,—,—,—,—,—,—,—,Manual,-3582.4,—,—,—,,203.666666666667,—,No,161,8/18/2021
D586,Harley-Davidson,Iron 883,Custom,2019,-175479.202361664,225.715146600486,9.89424602460245,17.5545779777978,104.016753675368,Electric,Yes,Automatic,Yes,9.76467374959064,65.8658865886589,139.363504350435,Scooter,Japan,2019.3500270027,,Spoke,Liquid,Drum,2.994790879273,182.661778911067,3.39229223214028,—,45426.3216321632,—,-340,Single,—,—,—,—,—,21.6,—,Manual,-3788.95,—,—,,9:05,216.666666666667,—,—,163.5,8/19/2021
O587,Bajaj,Pulsar 150,Twin Disc,2022,-176381.840336726,225.420124400443,9.88765508550854,17.5414576057606,104.025058505851,Electric,Yes,Automatic,Yes,9.76011522190018,65.7953375337534,139.389252925292,Cruiser,Austria,2019.34777677768,,Spoke,Oil,Disc,2.99419921731158,182.799323886566,3.38958454966864,—,45520.6300630063,—,-362,Single,—,—,—,—,—,—,—,Manual,-3995.5,—,—,6/3/2021,36:78/+119,—,—,Underseat compartment,166,—
N588,Harley-Davidson,Iron 883,Custom,2019,-177284.478311789,225.125102200399,9.88106414641463,17.5283372337234,104.033363336334,Petrol,No,Automatic,Yes,9.75555669420972,65.7247884788479,139.41500150015,Sport,India,2019.34552655266,BS8,Spoke,Liquid,Disc/Drum,2.99360755535015,182.936868862065,3.38687686719699,—,45614.9384938494,—,—,Double,—,—,—,—,—,5.%23,—,Manual,—,—,—,6/4/2021,21.25486111,10/7:21,—,Underseat compartment,168.5,7/22/2021
D589,TVS,Apache RTR 160 4V,Disc,2020,-178187.116286851,224.830080000356,9.87447320732072,17.5152168616862,104.041668166817,Electric,Yes,Automatic,No,9.75099816651926,65.6542394239425,139.440750075007,Scooter,Japan,2019.34327632763,,Alloy,Air,Disc,2.99301589338872,183.074413837564,3.38416918472535,—,45709.2469246924,—,,double,—,—,—,—,—,—,—,—,—,—,—,6/5/2021,—,—,—,Yes,—,7/23/2021
O590,Bajaj,Pulsar 150,Twin Disc,2018,-179089.754261914,224.535057800313,9.86788226822681,17.502096489649,104.0499729973,Electric,Yes,Automatic,No,9.7464396388288,65.583690369037,139.466498649865,Adventure,India,2019.34102610261,,Alloy,Oil,Disc,2.99242423142729,183.211958813063,3.38146150225371,—,45803.5553555355,—,-384,—,—,—,—,—,—,—,—,,—,—,—,6/6/2021,,,—,No,,7/24/2021
N591,BMW,S 1000 RR,Pro M Sport,2020,-179992.392236976,224.24003560027,9.86129132913291,17.4889761176118,104.058277827783,Electric,Yes,Automatic,Yes,9.74188111113834,65.5131413141315,139.492247224722,Cruiser,Japan,2019.33877587759,,Spoke,Oil,Drum,2.99183256946586,183.349503788562,3.37875381978206,—,45897.8637863786,—,-406,,—,—,—,—,—,100.&25,—,—,—,—,—,6/7/2021,10:05,210.166666666667,—,—,—,7/25/2021
D592,Yamaha,R15 V4,Racing Blue,2021,-180895.030212039,223.945013400227,9.854700390039,17.4758557455746,104.066582658266,Electric,Yes,Automatic,Yes,9.73732258344788,65.442592259226,139.51799579958,Sport,Japan,2019.33652565257,,Spoke,Oil,Disc/Drum,2.99124090750443,183.487048764061,3.37604613731042,—,45992.1722172217,—,—,Single,—,—,—,—,—,—,—,Automatic,—,—,—,6/8/2021,36:78/+120,224.666666666667,—,Underseat compartment,171,7/26/2021
O593,Kawasaki,Ninja 300,KRT Edition,2021,-181797.668187101,223.649991200183,9.84810945094509,17.4627353735374,104.074887488749,Electric,Yes,Automatic,No,9.73276405575742,65.3720432043205,139.543744374437,Scooter,Japan,2019.33427542754,,Spoke,Oil,Disc/Drum,2.99064924554301,183.62459373956,3.37333845483878,—,46086.4806480648,—,,Single,—,—,—,—,—,22.6,—,Automatic,111,—,—,—,18.25486111,239.166666666667,—,Underseat compartment,173.5,—
N594,Bajaj,Dominar 400,ABS,2019,-182700.306162164,223.35496900014,9.84151851185118,17.4496150015002,104.083192319232,Electric,Yes,Automatic,Yes,9.72820552806697,65.301494149415,139.569492949295,Commuter,Japan,2019.33202520252,,Spoke,Oil,Disc,2.99005758358158,183.762138715059,3.37063077236713,—,46180.7890789079,—,-428,Double,—,—,—,—,—,—,—,Manual,—,—,—,,—,—,—,Yes,176,
D595,Hero,Splendor Plus,i3S,2019,-183602.944137226,223.059946800097,9.83492757275727,17.436494629463,104.091497149715,Petrol,No,Automatic,Yes,9.7236470003765,65.2309450945095,139.595241524152,Adventure,India,2019.3297749775,Euro5,Spoke,Oil,Drum,2.98946592162015,183.899683690558,3.36792308989549,—,46275.0975097509,—,-450,double,—,—,—,—,—,5.%24,—,Manual,—,—,—,—,,10/7:22,—,No,178.5,—
O596,TVS,Apache RTR 160 4V,Disc,2022,$181296,222.764924600054,9.82833663366336,17.4233742574258,104.099801980198,Petrol,No,Automatic,No,9.71908847268604,65.160396039604,139.62099009901,Commuter,China,2019.32752475248,Euro5,Alloy,Air,Disc/Drum,2.98887425965872,184.037228666057,3.36521540742385,—,46369.405940594,—,—,—,—,—,—,—,—,—,—,Manual,-3816,—,—,,11:05,—,—,—,—,
N597,Yamaha,FZ-S FI,Version 3.0,2023,-294216.9,222.46990240001,9.82174569456945,17.4102538853886,104.108106810681,Electric,Yes,Automatic,Yes,9.71452994499558,65.0898469846985,139.646738673867,Scooter,India,2019.32527452745,,Spoke,Air,Disc,2.98828259769729,184.174773641556,3.3625077249522,—,46463.7143714371,—,,,—,—,—,—,—,—,—,Manual,-4048.5,—,—,6/1/2021,36:78/+121,,—,Underseat compartment,,8/20/2021
D598,Hero,Xtreme 160R,Stealth Edition,2022,-328928.1,222.174880199967,9.81515475547554,17.3971335133514,104.116411641164,Electric,Yes,Automatic,Yes,9.70997141730512,65.019297929793,139.672487248725,Adventure,Austria,2019.32302430243,,Alloy,Air,Disc/Drum,2.98769093573587,184.312318617055,3.35980004248056,—,46558.0228022802,—,-472,Single,—,—,—,—,—,100.&26,—,Manual,-4281,—,—,6/2/2021,19.25486111,229.666666666667,—,Underseat compartment,—,8/21/2021
O599,Harley-Davidson,Street 750,Standard,2020,-363639.3,221.879857999924,9.80856381638163,17.3840131413141,104.124716471647,Electric,Yes,Automatic,Yes,9.70541288961466,64.9487488748876,139.698235823582,Cruiser,Japan,2019.32077407741,,Alloy,Air,Disc,2.98709927377444,184.449863592554,3.35709236000892,—,46652.3312331233,—,-494,Single,—,—,—,—,—,—,—,Manual,-4513.5,—,—,6/3/2021,—,245.666666666667,—,Yes,161,8/22/2021
N600,BMW,G 310 R,ABS,2022,-398350.5,221.584835799881,9.80197287728772,17.3708927692769,104.13302130213,Petrol,No,Manual,Yes,9.7008543619242,64.8781998199821,139.72398439844,Sport,Austria,2019.31852385239,Euro5,Spoke,Oil,Disc,,,,—,46746.6396639664,—,—,Double,—,—,—,—,—,23.6,—,Manual,—,—,—,6/4/2021,,261.666666666667,—,No,163.5,8/23/2021
D601,TVS,Apache RTR 160 4V,Disc,2023,-61827.3333333333,221.289813599838,9.79538193819381,17.3577723972397,104.141326132613,Petrol,No,Automatic,Yes,9.69629583423374,64.8076507650766,139.749732973297,Sport,Austria,2019.31627362736,Euro10,Spoke,Oil,Disc/Drum,,,,1877.54901960784,46840.9480948094,1100,598.666666666667,Single,1380,-17.54,-16.29,-11.9333333333333,—,—,—,Automatic,-344,325.956684571051,IN,3/18/2021,17:05,27,-102,Underseat compartment,51,8/24/2021
O602,Honda,CB350,DLX Pro,2021,-71253.3333333333,220.994791399794,9.7887909990999,17.3446520252025,104.149630963096,Petrol,No,Automatic,No,9.69173730654328,64.7371017101711,139.775481548155,Sport,India,2019.31402340234,BS14,Alloy,Liquid,Drum,,,,1878.52941176471,46935.2565256525,1100,587.666666666667,Single,1387.5,-19.13,-17.79,-13.0333333333333,—,10.6,—,Automatic,-372.5,327.440897087545,IN,3/18/2021,36:78/+103,29,-114,Underseat compartment,53.5,8/25/2021
N603,Kawasaki,Ninja 300,KRT Edition,2019,-80679.3333333333,220.699769199751,9.78220006000599,17.3315316531653,104.157935793579,Electric,Yes,Automatic,Yes,9.68717877885283,64.6665526552656,139.801230123012,Cruiser,India,2019.31177317732,,Spoke,Liquid,Drum,2.98650761181301,184.587408568053,3.35438467753728,1879.50980392157,47029.5649564956,1100,576.666666666667,Single,1395,-20.72,-19.29,-14.1333333333333,—,—,—,Automatic,-401,328.925109604039,IN,3/19/2021,5.254861111,—,-126,Underseat compartment,56,—
D604,Harley-Davidson,Iron 883,Custom,2020,-90105.3333333333,220.404746999708,9.77560912091208,17.3184112811281,104.166240624062,Electric,Yes,Automatic,No,9.68262025116236,64.5960036003601,139.82697869787,Commuter,India,2019.3095229523,,Alloy,Air,Drum,2.98591594985158,184.724953543552,3.35167699506563,1880.49019607843,47123.8733873387,1100,—,Single,—,—,—,—,—,5.%12,—,Manual,—,330.409322120533,IN,3/20/2021,—,10/7:10,—,Yes,58.5,7/27/2021
O605,TVS,Apache RTR 160 4V,Disc,2019,-99531.3333333333,220.109724799665,9.76901818181817,17.3052909090909,104.174545454545,Petrol,No,Automatic,Yes,9.6780617234719,64.5254545454546,139.852727272727,Commuter,Japan,2019.30727272727,BS16,Alloy,Air,Disc/Drum,2.98532428789015,184.862498519051,3.34896931259399,1881.47058823529,47218.1818181818,1100,,Single,—,—,—,—,—,—,—,Manual,—,331.893534637026,IN,3/21/2021,,—,—,No,—,7/28/2021
N606,TVS,Apache RTR 160 4V,Disc,2023,-108957.333333333,219.814702599621,9.76242724272426,17.2921705370537,104.182850285028,Electric,Yes,Automatic,No,9.67350319578144,64.4549054905491,139.878475847585,Commuter,China,2019.30502250225,,Spoke,Liquid,Disc,2.98473262592873,185.00004349455,3.34626163012235,1882.45098039216,47312.4902490249,1100,496,Single,—,—,—,—,—,—,—,Manual,—,333.37774715352,IN,3/22/2021,18:05,,—,—,,7/29/2021
D607,BMW,S 1000 RR,Pro M Sport,2023,$108099,219.519680399578,9.75583630363035,17.2790501650165,104.191155115512,Electric,Yes,Automatic,No,9.66894466809098,64.3843564356436,139.904224422442,Sport,Austria,2019.30277227723,,Alloy,Oil,Disc/Drum,2.9841409639673,185.137588470049,3.3435539476507,1883.43137254902,47406.798679868,1100,474,Single,—,—,—,—,—,100.&14,—,Manual,—,334.861959670014,IN,3/23/2021,36:78/+104,-34.3333333333333,—,Underseat compartment,—,7/30/2021
O608,BMW,G 310 R,ABS,2020,-184505.582112289,219.224658199535,9.74924536453645,17.2659297929793,104.199459945995,Petrol,No,Manual,No,9.66438614040052,64.3138073807381,139.9299729973,Cruiser,Austria,2019.30052205221,Euro5,Spoke,Air,Drum,2.98354930200587,185.275133445548,3.34084626517906,1884.41176470588,47501.107110711,1100,—,Single,—,—,—,—,—,—,—,Manual,—,336.346172186508,IN,3/24/2021,1.254861111,-37.8333333333333,—,Underseat compartment,61,7/31/2021
N609,Hero,Splendor Plus,i3S,2018,-185408.220087351,218.929635999492,9.74265442544254,17.2528094209421,104.207764776478,Electric,Yes,Automatic,Yes,9.65982761271006,64.2432583258327,139.955721572157,Scooter,Japan,2019.29827182718,,Alloy,Air,Disc/Drum,2.98295764004444,185.412678421046,3.33813858270742,1885.39215686275,47595.4155415541,1100,,Single,—,—,—,—,—,11.6,—,Manual,100,337.830384703002,IN,3/25/2021,—,-41.3333333333333,—,Yes,63.5,—
D610,Harley-Davidson,Street 750,Standard,2019,-186310.858062414,218.634613799449,9.73606348634863,17.2396890489049,104.216069606961,Electric,Yes,Automatic,Yes,9.6552690850196,64.1727092709272,139.981470147015,Cruiser,Austria,2019.29602160216,,Alloy,Liquid,Disc/Drum,2.98236597808301,185.550223396545,3.33543090023577,1886.37254901961,47689.7239723972,1100,452,Single,—,—,—,—,—,—,—,Manual,—,339.314597219495,IN,3/26/2021,,—,—,No,66,
O611,BMW,G 310 R,ABS,2022,-187213.496037476,218.339591599405,9.72947254725472,17.2265686768677,104.224374437444,Electric,Yes,Automatic,No,9.65071055732914,64.1021602160217,140.007218721872,Sport,China,2019.29377137714,,Spoke,Liquid,Disc,2.98177431612159,185.687768372044,3.33272321776413,1887.35294117647,47784.0324032403,1100,430,Single,2692.5,-11.9333333333333,—,—,—,5.%13,—,Manual,—,340.798809735989,IN,3/27/2021,19:05,10/7:11,—,—,68.5,—
N612,BMW,S 1000 RR,Pro M Sport,2020,-188116.134012539,218.044569399362,9.72288160816081,17.2134483048305,104.232679267927,Electric,Yes,Automatic,Yes,9.64615202963869,64.0316111611162,140.03296729673,Sport,Austria,2019.29152115212,,Spoke,Air,Drum,2.98118265416016,185.825313347543,3.33001553529249,1888.33333333333,47878.3408340834,1100,—,Single,2700,-13.0333333333333,—,—,—,—,—,Manual,-938.35,342.283022252483,IN,3/28/2021,36:78/+105,—,—,Underseat compartment,—,
D613,Harley-Davidson,Street 750,Standard,2018,-189018.771987601,217.749547199319,9.7162906690669,17.2003279327933,104.24098409841,Petrol,No,Automatic,Yes,9.64159350194821,63.9610621062107,140.058715871587,Commuter,India,2019.28927092709,Euro5,Spoke,Air,Disc/Drum,2.98059099219873,185.962858323042,3.32730785282084,1889.3137254902,47972.6492649265,1100,,Single,2707.5,-14.1333333333333,—,—,—,—,—,Manual,-989.2,343.767234768977,IN,—,7.254861111,,—,Underseat compartment,,8/26/2021
O614,Hero,Xtreme 160R,Stealth Edition,2022,-189921.409962664,217.454524999276,9.70969972997299,17.1872075607561,104.249288928893,Electric,Yes,Automatic,No,9.63703497425776,63.8905130513052,140.084464446445,Cruiser,China,2019.28702070207,,Spoke,Oil,Disc,2.9799993302373,186.100403298541,3.3246001703492,1890.29411764706,48066.9576957695,1100,408,Single,2715,—,—,—,—,100.&15,—,Manual,-1040.05,345.251447285471,IN,,—,-10.3333333333333,—,Yes,—,8/27/2021
N615,Yamaha,R15 V4,Racing Blue,2023,-190824.047937726,217.159502799232,9.70310879087908,17.1740871887189,104.257593759376,Petrol,No,Automatic,No,9.63247644656729,63.8199639963997,140.110213021302,Adventure,Austria,2019.28477047705,BS6,Alloy,Liquid,Drum,2.97940766827587,186.23794827404,3.32189248787756,1891.27450980392,48161.2661266126,1100,386,Single,2722.5,—,—,—,—,—,—,Manual,-1090.9,346.735659801964,IN,—,,-12.3333333333333,—,No,71,8/28/2021
D616,Yamaha,FZ-S FI,Version 3.0,2020,-191726.685912789,216.864480599189,9.69651785178517,17.1609668166817,104.265898589859,Petrol,No,Manual,No,9.62791791887683,63.7494149414942,140.13596159616,Cruiser,India,2019.28252025203,BS6,Alloy,Air,Disc,2.97881600631445,186.375493249539,3.31918480540591,1892.25490196078,48255.5745574557,1100,—,Single,2730,—,-11.9333333333333,—,—,12.6,—,Manual,—,348.219872318458,IN,,20:05,-14.3333333333333,—,—,73.5,8/29/2021
O617,Hero,Xtreme 160R,Stealth Edition,2022,-192629.323887851,216.569458399146,9.68992691269126,17.1478464446445,104.274203420342,Electric,Yes,Automatic,Yes,9.62335939118637,63.6788658865887,140.161710171017,Cruiser,Japan,2019.280270027,,Alloy,Liquid,Disc,2.97822434435302,186.513038225038,3.31647712293427,1893.23529411765,48349.8829882988,1100,,Single,2737.5,—,-13.0333333333333,—,—,—,—,—,—,349.704084834952,IN,4/28/2021,36:78/+106,—,—,Underseat compartment,76,8/30/2021
N618,Bajaj,Dominar 400,ABS,2020,-193531.961862914,216.274436199103,9.68333597359735,17.1347260726073,104.282508250825,Electric,Yes,Automatic,No,9.61880086349591,63.6083168316832,140.187458745875,Sport,India,2019.27801980198,,Alloy,Air,Drum,2.97763268239159,186.650583200537,3.31376944046263,—,48444.1914191419,1100,364,Single,2745,—,-14.1333333333333,—,—,5.%14,—,,—,351.188297351446,IN,4/29/2021,8.254861111,10/7:12,—,Underseat compartment,78.5,8/31/2021
D619,Bajaj,Pulsar 150,Twin Disc,2018,-194434.599837976,215.97941399906,9.67674503450344,17.1216057005701,104.290813081308,Electric,Yes,Automatic,Yes,9.61424233580545,63.5377677767777,140.213207320732,Cruiser,Japan,2019.27576957696,,Spoke,Liquid,Disc,2.97704102043016,186.788128176036,3.31106175799098,—,48538.499849985,1100,342,Single,2752.5,—,—,-16.29,—,—,—,—,—,352.67250986794,IN,4/30/2021,—,—,—,Yes,—,—
O620,Royal Enfield,Himalayan,Standard,2022,-195337.237813039,215.684391799016,9.67015409540953,17.1084853285329,104.299117911791,Electric,Yes,Automatic,Yes,9.60968380811499,63.4672187218723,140.238955895589,Cruiser,Japan,2019.27351935194,,Spoke,Liquid,Disc,2.97644935846873,186.925673151535,3.30835407551934,—,48632.808280828,1100,—,Single,2760,—,—,-17.79,—,—,—,Automatic,—,354.156722384433,IN,5/1/2021,,,—,No,,8/1/2021
N621,TVS,Apache RR 310,BTO Kit,2023,-196239.875788101,215.389369598973,9.66356315631562,17.0953649564957,104.307422742274,Petrol,No,Manual,No,9.60512528042453,63.3966696669668,140.264704470447,Scooter,Austria,2019.27126912691,BS6,Spoke,Oil,Drum,2.9758576965073,187.063218127034,3.3056463930477,—,48727.1167116711,1100,,Single,2767.5,—,—,-19.29,—,100.&16,—,Automatic,101,355.640934900927,IN,5/2/2021,21:05,13.6666666666667,—,—,—,8/2/2021
D622,Harley-Davidson,Street 750,Standard,2018,-197142.513763164,215.09434739893,9.65697221722171,17.0822445844585,104.315727572757,Petrol,No,Manual,Yes,9.60056675273407,63.3261206120613,140.290453045304,Cruiser,Japan,2019.26901890189,BS4,Spoke,Liquid,Drum,2.97526603454588,187.200763102533,3.30293871057606,—,48821.4251425142,1100,320,Single,2775,—,-4.71857142857144,—,—,—,—,Manual,—,357.125147417421,IN,5/3/2021,36:78/+107,13.1666666666667,—,Underseat compartment,81,8/3/2021
